zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,122034,0.000454612,268313422,1.4013e-45,0.599727,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,67433070,0.251208,201002386,0,0.449275,1,0
6,11285877,0.0420432,257149579,0,0.574774,1,0
7,67433090,0.251208,201002366,0,0.449275,1,0
8,67433081,0.251208,201002375,0,0.449275,1,0
9,67433083,0.251208,201002373,0,0.449275,1,0
10,31031327,0.115601,237404129,0,0.53064,1,0
11,67433098,0.251208,201002358,0,0.449275,1,0
12,67433087,0.251208,201002369,0,0.449275,1,0
13,10071569,0.0375195,258363887,0,0.577488,1,0
14,67433089,0.251208,201002367,0,0.449275,1,0
15,67433096,0.251208,201002360,0,0.449275,1,0
16,67433066,0.251208,201002390,0,0.449275,1,0
17,67433077,0.251208,201002379,0,0.449275,1,0
18,67433102,0.251208,201002354,0,0.449275,1,0
19,59217790,0.220603,209217666,0,0.467638,1,0
20,67433102,0.251208,201002354,0,0.449275,1,0
21,26574984,0.0989995,241860472,0,0.5406,1,0
22,67433054,0.251208,201002402,0,0.449275,1,0
23,67433070,0.251208,201002386,0,0.449275,1,0
24,67433106,0.251208,201002350,0,0.449275,1,0
25,59020482,0.219868,209414974,0,0.468079,1,0
26,55701477,0.207504,212733979,1.4013e-45,0.475498,1,0
27,67433085,0.251208,201002371,0,0.449275,1,0
28,13326237,0.0496441,255109219,0,0.570214,1,0
29,63495815,0.23654,204939641,1.4013e-45,0.458076,1,0
30,67433084,0.251208,201002372,0,0.449275,1,0
31,67433078,0.251208,201002378,0,0.449275,1,0
32,19547569,0.0728204,248887887,0,0.556308,1,0
33,67433068,0.251208,201002388,0,0.449275,1,0
34,67433100,0.251208,201002356,0,0.449275,1,0
35,44199827,0.164657,224235629,0,0.501206,1,0
36,67433100,0.251208,201002356,0,0.449275,1,0
37,207264369,0.77212,61171087,0,0.136728,0,0
38,268433796,0.999994,1660,0,3.71039e-06,0,0
39,48896721,0.182154,219538735,0,0.490707,1,0
40,268434488,0.999996,968,0,2.16365e-06,0,0
41,268434586,0.999997,870,0,1.9446e-06,0,0
42,268434268,0.999996,1188,0,2.65539e-06,0,0
43,268434339,0.999996,1117,0,2.49669e-06,0,0
44,268434192,0.999995,1264,0,2.82526e-06,0,0
45,268434134,0.999995,1322,0,2.9549e-06,0,0
46,202214948,0.753309,66220508,1.4013e-45,0.148014,0,0
47,80583846,0.300198,187851610,1.65574e-05,0.419888,3,0
48,52002611,0.193725,216432845,1.4013e-45,0.483765,1,0
49,67433080,0.251208,201002376,2.86131e-07,0.449275,3,0
50,66847560,0.249027,201587896,8.41137e-07,0.450584,3,0
51,49482212,0.184336,218953244,2.29771e-07,0.489399,3,0
52,67433080,0.251208,201002376,7.64728e-06,0.449278,3,0
53,67433116,0.251208,201002340,2.8558e-08,0.449275,3,0
54,0,0,268435456,0,0,0,0
55,0,0,268435456,0,0,0,0
56,67433094,0.251208,201002362,4.44332e-09,0.449275,3,0
57,67433082,0.251208,201002374,1.55318e-09,0.449275,3,0
58,29401292,0.109528,239034164,8.5894e-10,0.534283,3,0
59,67433096,0.251208,201002360,3.79062e-11,0.449275,3,0
60,67433073,0.251208,201002383,4.07674e-08,0.449275,3,0
61,8281233,0.03085,260154223,7.60122e-11,0.58149,3,0
62,55939881,0.208392,212495575,1.4013e-45,0.474965,1,0
63,8156726,0.0303862,260278730,1.4013e-45,0.581768,1,0
64,67433085,0.251208,201002371,1.4013e-45,0.449275,1,0
65,64914771,0.241826,203520685,2.19037e-07,0.454904,3,0
66,67433121,0.251208,201002335,1.4013e-45,0.449275,1,0
67,13409594,0.0499546,255025862,1.4013e-45,0.570027,1,0
68,0,0,268435456,0,0,0,0
69,67433104,0.251208,201002352,1.4013e-45,0.449275,1,0
70,42979195,0.16011,225456261,2.69259e-11,0.503934,3,0
71,0,0,268435456,0,0,0,0
72,67433111,0.251208,201002345,1.4013e-45,0.449275,1,0
73,40672963,0.151519,227762493,1.4013e-45,0.509089,1,0
74,67433112,0.251208,201002344,2.3425e-11,0.449275,3,0
75,13524559,0.0503829,254910897,1.4013e-45,0.56977,1,0
76,268434485,0.999996,971,0,2.17035e-06,0,0
