now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777428336822288,12,0.463452756,0.490280122,0.599983692,0,8
1777428346822527,11,0.487117499,0.512761652,0.599983692,0,8
1777428356822678,11,0.520340621,0.544323623,0.599983692,0,8
1777428366822839,11,0.494646311,0.519914031,0.59999305,0,8
1777428376822973,10,0.526213944,0.549903274,0.599983692,0,8
1777428386823116,10,0.51965493,0.543672204,0.599983692,0,8
1777428396823274,9,0.533045948,0.556393683,0.599983692,0,8
1777428406823447,9,0.522285402,0.546171188,0.599983692,0,8
1777428416823611,8,0.520615101,0.544584394,0.599983692,0,8
1777428426823754,8,0.54496026,0.567712247,0.599983692,0,8
1777428436823902,7,0.541967392,0.564868987,0.599983692,0,8
1777428446824083,6,0.551590025,0.574010551,0.599983692,0,8
1777428456824238,6,0.53923142,0.562269866,0.599983692,0,8
1777428466824468,5,0.497075677,0.522221923,0.599983692,0,8
1777428476824716,4,0.508595467,0.533165693,0.599983692,0,8
1777428486824917,4,0.491839796,0.517247796,0.599983692,0,8
1777428496825093,3,0.503211439,0.52805084,0.599983692,0,8
