zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,120500,0.000448897,268314956,1.4013e-45,0.599731,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,268433351,0.999992,2105,0,4.70504e-06,0,0
6,121214526,0.451559,147220930,0,0.329064,1,0
7,67433069,0.251208,201002387,1.4013e-45,0.449275,1,0
8,60221120,0.224341,208214336,1.4013e-45,0.465395,1,0
9,268433661,0.999993,1795,0,4.01214e-06,0,0
10,130615087,0.486579,137820369,1.4013e-45,0.308053,1,0
11,72553603,0.270283,195881853,1.4013e-45,0.43783,1,0
12,268433759,0.999994,1697,0,3.79309e-06,0,0
13,261447766,0.973969,6987690,1.4013e-45,0.0156187,0,0
14,268434014,0.999995,1442,0,3.22312e-06,0,0
15,49387269,0.183982,219048187,4.94339e-08,0.489611,3,0
16,16262144,0.0605812,252173312,1.4013e-45,0.563651,1,0
17,0,0,268435456,0,0,0,0
18,268433381,0.999992,2075,0,4.63799e-06,0,0
19,65323928,0.243351,203111528,2.3991e-07,0.45399,3,0
20,134866211,0.502416,133569245,2.84357e-18,0.298551,0,0
21,180285440,0.671616,88150016,7.01751e-18,0.197031,0,0
22,268433623,0.999993,1833,0,4.09707e-06,0,0
23,268434769,0.999997,687,0,1.53556e-06,0,0
24,268433841,0.999994,1615,0,3.60981e-06,0,0
25,186680621,0.69544,81754835,1.69367e-07,0.182736,2,0
26,59200925,0.220541,209234531,1.4013e-45,0.467676,1,0
27,268433432,0.999992,2024,0,4.52399e-06,0,0
28,235283328,0.876499,33152128,1.4013e-45,0.0741008,0,0
29,59338423,0.221053,209097033,0,0.467368,1,0
30,255615671,0.952243,12819785,1.4013e-45,0.0286545,0,0
31,268433596,0.999993,1860,0,4.15742e-06,0,0
32,135999010,0.506636,132436446,1.4013e-45,0.296019,0,0
33,72999781,0.271945,195435675,1.4013e-45,0.436833,1,0
34,260571731,0.970705,7863725,2.10945e-06,0.0175776,2,0
35,0,0,268435456,0,0,0,0
36,0,0,268435456,0,0,0,0
37,0,0,268435456,0,0,0,0
38,0,0,268435456,0,0,0,0
39,256194015,0.954397,12241441,1.4013e-45,0.0273618,0,0
40,268433711,0.999993,1745,0,3.90038e-06,0,0
41,125521890,0.467605,142913566,1.4013e-45,0.319437,1,0
42,147364783,0.548977,121070673,8.97553e-28,0.270614,0,0
43,55449759,0.206566,212985697,1.4013e-45,0.47606,1,0
44,0,0,268435456,0,0,0,0
45,0,0,268435456,0,0,0,0
46,0,0,268435456,0,0,0,0
47,0,0,268435456,0,0,0,0
48,0,0,268435456,0,0,0,0
49,54208512,0.201942,214226944,2.18585e-26,0.478835,1,0
50,268434787,0.999998,669,0,1.49533e-06,0,0
51,135990786,0.506605,132444670,1.4013e-45,0.296037,0,0
52,147115757,0.548049,121319699,1.4013e-45,0.271171,0,0
53,22885494,0.0852551,245549962,2.25141e-05,0.548856,3,0
54,200285928,0.746123,68149528,1.4013e-45,0.152326,0,0
55,157922018,0.588305,110513438,1.4013e-45,0.247017,0,0
56,0,0,268435456,0,0,0,0
57,0,0,268435456,0,0,0,0
58,0,0,268435456,0,0,0,0
59,0,0,268435456,0,0,0,0
60,0,0,268435456,0,0,0,0
61,0,0,268435456,0,0,0,0
62,0,0,268435456,0,0,0,0
63,0,0,268435456,0,0,0,0
64,0,0,268435456,0,0,0,0
65,0,0,268435456,0,0,0,0
66,0,0,268435456,0,0,0,0
67,0,0,268435456,0,0,0,0
68,0,0,268435456,0,0,0,0
69,0,0,268435456,0,0,0,0
70,0,0,268435456,0,0,0,0
71,0,0,268435456,0,0,0,0
72,0,0,268435456,0,0,0,0
73,0,0,268435456,0,0,0,0
74,0,0,268435456,0,0,0,0
75,0,0,268435456,0,0,0,0
76,0,0,268435456,0,0,0,0
77,0,0,268435456,0,0,0,0
78,0,0,268435456,0,0,0,0
79,0,0,268435456,0,0,0,0
80,0,0,268435456,0,0,0,0
81,0,0,268435456,0,0,0,0
82,0,0,268435456,0,0,0,0
83,0,0,268435456,0,0,0,0
84,0,0,268435456,0,0,0,0
85,0,0,268435456,0,0,0,0
86,0,0,268435456,0,0,0,0
87,0,0,268435456,0,0,0,0
88,0,0,268435456,0,0,0,0
