zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,126924,0.000472829,268308532,1.4013e-45,0.599716,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,13538268,0.050434,254897188,0,0.56974,1,0
6,67433117,0.251208,201002339,0,0.449275,1,0
7,67433084,0.251208,201002372,0,0.449275,1,0
8,67433112,0.251208,201002344,0,0.449275,1,0
9,51657617,0.19244,216777839,0,0.484536,1,0
10,67433099,0.251208,201002357,0,0.449275,1,0
11,67433091,0.251208,201002365,0,0.449275,1,0
12,67433084,0.251208,201002372,0,0.449275,1,0
13,36479322,0.135896,231956134,0,0.518462,1,0
14,67433079,0.251208,201002377,0,0.449275,1,0
15,67433071,0.251208,201002385,0,0.449275,1,0
16,67433077,0.251208,201002379,0,0.449275,1,0
17,67433082,0.251208,201002374,0,0.449275,1,0
18,67433101,0.251208,201002355,0,0.449275,1,0
19,67433083,0.251208,201002373,0,0.449275,1,0
20,67433071,0.251208,201002385,0,0.449275,1,0
21,67433130,0.251208,201002326,0,0.449275,1,0
22,32577920,0.121362,235857536,0,0.527183,1,0
23,34295441,0.12776,234140015,0,0.523344,1,0
24,67433092,0.251208,201002364,0,0.449275,1,0
25,67433074,0.251208,201002382,0,0.449275,1,0
26,67433112,0.251208,201002344,0,0.449275,1,0
27,67433085,0.251208,201002371,0,0.449275,1,0
28,23137763,0.0861949,245297693,0,0.548283,1,0
29,6286212,0.023418,262149244,0,0.585949,1,0
30,67433075,0.251208,201002381,0,0.449275,1,0
31,67433101,0.251208,201002355,0,0.449275,1,0
32,67433083,0.251208,201002373,0,0.449275,1,0
33,67433099,0.251208,201002357,0,0.449275,1,0
34,67433083,0.251208,201002373,0,0.449275,1,0
35,67433094,0.251208,201002362,0,0.449275,1,0
36,67433072,0.251208,201002384,0,0.449275,1,0
37,67433084,0.251208,201002372,0,0.449275,1,0
38,0,0,268435456,0,0,0,0
39,50855823,0.189453,217579633,0,0.486328,1,0
40,3124381,0.0116392,265311075,0,0.593017,1,0
41,67433097,0.251208,201002359,0,0.449275,1,0
42,67433125,0.251208,201002331,0,0.449275,1,0
43,67433086,0.251208,201002370,0,0.449275,1,0
44,12780806,0.0476122,255654650,0,0.571433,1,0
45,7199828,0.0268214,261235628,0,0.583907,1,0
46,38417352,0.143116,230018104,0,0.514131,1,0
47,197481537,0.735676,70953919,0,0.158594,0,0
48,188912835,0.703755,79522621,1.4013e-45,0.177747,0,0
49,268434879,0.999998,577,0,1.2897e-06,0,0
50,206245028,0.768323,62190428,1.67628e-16,0.139006,0,0
51,67433118,0.251208,201002338,1.4013e-45,0.449275,1,0
52,67433081,0.251208,201002375,1.4013e-45,0.449275,1,0
53,84687749,0.315486,183747707,1.4013e-45,0.410708,1,0
54,67433105,0.251208,201002351,1.4013e-45,0.449275,1,0
55,95364403,0.35526,173071053,0,0.386844,1,0
56,136912368,0.510038,131523088,1.4013e-45,0.293977,0,0
57,34488524,0.12848,233946932,1.4013e-45,0.522912,1,0
58,67433107,0.251208,201002349,1.4013e-45,0.449275,1,0
59,27989701,0.10427,240445755,1.4013e-45,0.537438,1,0
60,202217193,0.753318,66218263,1.4013e-45,0.148009,0,0
61,87045868,0.324271,181389588,7.02483e-27,0.405437,1,0
62,67433081,0.251208,201002375,1.4013e-45,0.449275,1,0
63,132745397,0.494515,135690059,1.00704e-28,0.303291,1,0
64,67433081,0.251208,201002375,1.4013e-45,0.449275,1,0
65,67433099,0.251208,201002357,0,0.449275,1,0
66,67433087,0.251208,201002369,1.4013e-45,0.449275,1,0
67,216154,0.000805236,268219302,1.4013e-45,0.599517,1,0
68,67433105,0.251208,201002351,1.4013e-45,0.449275,1,0
69,128562647,0.478933,139872809,3.04359e-38,0.31264,1,0
70,67433071,0.251208,201002385,5.76024e-08,0.449275,3,0
71,39386904,0.146728,229048552,1.4013e-45,0.511963,1,0
72,137743414,0.513134,130692042,0,0.29212,0,0
73,215489954,0.802763,52945502,1.22403e-37,0.118342,0,0
74,72024252,0.268311,196411204,9.22854e-06,0.439017,3,0
75,53953305,0.200992,214482151,1.4013e-45,0.479405,1,0
76,43215520,0.16099,225219936,1.4013e-45,0.503406,1,0
