zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,120097,0.000447396,268315359,1.4013e-45,0.599732,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,65283981,0.243202,203151475,4.89812e-07,0.454079,3,0
6,67433088,0.251208,201002368,3.16726e-26,0.449275,1,0
7,134866189,0.502416,133569267,1.4013e-45,0.298551,0,0
8,22573307,0.0840921,245862149,1.4013e-45,0.549545,1,0
9,193329906,0.72021,75105550,1.4013e-45,0.167874,0,0
10,268433636,0.999993,1820,0,4.06802e-06,0,0
11,171821198,0.640084,96614258,1.4013e-45,0.21595,0,0
12,268433883,0.999994,1573,0,3.51593e-06,0,0
13,22139392,0.0824757,246296064,1.4013e-45,0.550515,1,0
14,49815696,0.185578,218619760,1.4013e-45,0.488653,1,0
15,268434415,0.999996,1041,0,2.32682e-06,0,0
16,134866179,0.502416,133569277,1.4013e-45,0.298551,0,0
17,268433328,0.999992,2128,0,4.75645e-06,0,0
18,127113314,0.473534,141322142,1.4013e-45,0.31588,1,0
19,268433501,0.999993,1955,0,4.36977e-06,0,0
20,268433642,0.999993,1814,0,4.05461e-06,0,0
21,268433745,0.999994,1711,0,3.82438e-06,0,0
22,130669981,0.486784,137765475,0,0.30793,1,0
23,114326536,0.4259,154108920,1.4013e-45,0.34446,1,0
24,73524141,0.273899,194911315,1.4013e-45,0.435661,1,0
25,224127028,0.834938,44308428,4.88311e-08,0.0990371,2,0
26,130601193,0.486527,137834263,0,0.308084,1,0
27,29825433,0.111108,238610023,1.4013e-45,0.533335,1,0
28,153246374,0.570887,115189082,7.77916e-26,0.257468,0,0
29,121265626,0.45175,147169830,2.05094e-17,0.32895,1,0
30,268434017,0.999995,1439,0,3.21642e-06,0,0
31,71577009,0.266645,196858447,1.4013e-45,0.440013,1,0
32,229129524,0.853574,39305932,1.4013e-45,0.0878556,0,0
33,41535055,0.15473,226900401,2.18189e-36,0.507162,1,0
34,124310334,0.463092,144125122,1.4013e-45,0.322145,1,0
35,58987649,0.219746,209447807,0,0.468152,1,0
36,268433621,0.999993,1835,0,4.10154e-06,0,0
37,240244120,0.894979,28191336,5.08371e-27,0.0630125,0,0
38,0,0,268435456,0,0,0,0
39,65349312,0.243445,203086144,0,0.453933,1,0
40,42948265,0.159995,225487191,1.4013e-45,0.504003,1,0
41,0,0,268435456,0,0,0,0
42,186746149,0.695684,81689307,1.4013e-45,0.18259,0,0
43,29488263,0.109852,238947193,1.4013e-45,0.534089,1,0
44,172879370,0.644026,95556086,3.29675e-16,0.213584,0,0
45,61170622,0.227878,207264834,6.82002e-29,0.463273,1,0
46,190345582,0.709093,78089874,1.4013e-45,0.174544,0,0
47,121969765,0.454373,146465691,1.1001e-15,0.327376,1,0
48,202222199,0.753336,66213257,5.97954e-28,0.147998,0,0
49,219047343,0.816015,49388113,1.4013e-45,0.110391,0,0
50,144354178,0.537761,124081278,1.4013e-45,0.277343,0,0
51,240796588,0.897037,27638868,1.4013e-45,0.0617777,0,0
52,130591636,0.486492,137843820,0,0.308105,1,0
53,0,0,268435456,0,0,0,0
54,0,0,268435456,0,0,0,0
55,0,0,268435456,0,0,0,0
56,0,0,268435456,0,0,0,0
57,0,0,268435456,0,0,0,0
58,0,0,268435456,0,0,0,0
59,0,0,268435456,0,0,0,0
60,0,0,268435456,0,0,0,0
61,0,0,268435456,0,0,0,0
62,0,0,268435456,0,0,0,0
63,0,0,268435456,0,0,0,0
64,0,0,268435456,0,0,0,0
65,0,0,268435456,0,0,0,0
66,0,0,268435456,0,0,0,0
67,0,0,268435456,0,0,0,0
68,0,0,268435456,0,0,0,0
69,0,0,268435456,0,0,0,0
70,0,0,268435456,0,0,0,0
71,0,0,268435456,0,0,0,0
72,0,0,268435456,0,0,0,0
73,0,0,268435456,0,0,0,0
74,0,0,268435456,0,0,0,0
75,0,0,268435456,0,0,0,0
76,0,0,268435456,0,0,0,0
77,0,0,268435456,0,0,0,0
78,0,0,268435456,0,0,0,0
79,0,0,268435456,0,0,0,0
80,0,0,268435456,0,0,0,0
81,0,0,268435456,0,0,0,0
82,0,0,268435456,0,0,0,0
83,0,0,268435456,0,0,0,0
84,0,0,268435456,0,0,0,0
