zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,126855,0.000472572,268308601,1.4013e-45,0.599716,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,67433092,0.251208,201002364,0,0.449275,1,0
6,268434190,0.999995,1266,0,2.82973e-06,0,0
7,194657204,0.725155,73778252,1.4013e-45,0.164907,0,0
8,190949150,0.711341,77486306,1.52264e-36,0.173195,0,0
9,39647875,0.1477,228787581,1.4013e-45,0.51138,1,0
10,9728689,0.0362422,258706767,1.4013e-45,0.578255,1,0
11,33647238,0.125346,234788218,1.4013e-45,0.524793,1,0
12,0,0,268435456,0,0,0,0
13,202215083,0.75331,66220373,1.4013e-45,0.148014,0,0
14,40334469,0.150258,228100987,1.4013e-45,0.509845,1,0
15,259166949,0.965472,9268507,1.27475e-37,0.0207167,0,0
16,72506703,0.270109,195928753,1.4013e-45,0.437935,1,0
17,188341160,0.701625,80094296,1.4013e-45,0.179025,0,0
18,2064,7.689e-06,268433392,1.4013e-45,0.599995,1,0
19,20864153,0.077725,247571303,1.4013e-45,0.553365,1,0
20,73072758,0.272217,195362698,1.4013e-45,0.43667,1,0
21,37046903,0.13801,231388553,1.4013e-45,0.517194,1,0
22,13059511,0.0486505,255375945,0,0.57081,1,0
23,45164169,0.16825,223271287,1.4013e-45,0.49905,1,0
24,42902190,0.159823,225533266,1.4013e-45,0.504106,1,0
25,134866211,0.502416,133569245,1.4013e-45,0.298551,0,0
26,67433089,0.251208,201002367,1.4013e-45,0.449275,1,0
27,123312922,0.459376,145122534,1.4013e-45,0.324374,1,0
28,44341023,0.165183,224094433,1.79106e-26,0.50089,1,0
29,53444807,0.199097,214990649,1.4013e-45,0.480542,1,0
30,203083880,0.756546,65351576,1.4013e-45,0.146072,0,0
31,32837057,0.122328,235598399,1.4013e-45,0.526603,1,0
32,153091840,0.570312,115343616,1.4013e-45,0.257813,0,0
33,164441616,0.612593,103993840,1.4013e-45,0.232444,0,0
34,137774314,0.513249,130661142,1.4013e-45,0.29205,0,0
35,203132704,0.756728,65302752,1.4013e-45,0.145963,0,0
36,30946906,0.115286,237488550,1.4013e-45,0.530828,1,0
37,268433444,0.999993,2012,0,4.49717e-06,0,0
38,41167005,0.153359,227268451,1.4013e-45,0.507985,1,0
39,51000396,0.189991,217435060,0,0.486005,1,0
40,67433097,0.251208,201002359,1.4013e-45,0.449275,1,0
41,137850206,0.513532,130585250,1.4013e-45,0.291881,0,0
42,268433767,0.999994,1689,0,3.77521e-06,0,0
43,217907473,0.811769,50527983,1.4013e-45,0.112939,0,0
44,67433103,0.251208,201002353,1.4013e-45,0.449275,1,0
45,120991842,0.45073,147443614,1.4013e-45,0.329562,1,0
46,143039766,0.532865,125395690,8.40423e-06,0.280285,2,0
47,72488585,0.270041,195946871,1.4013e-45,0.437975,1,0
48,67481901,0.25139,200953555,0,0.449166,1,0
49,268433968,0.999994,1488,0,3.32594e-06,0,0
50,53669642,0.199935,214765814,0,0.480039,1,0
51,89702016,0.334166,178733440,1.18178e-37,0.3995,1,0
52,77971704,0.290467,190463752,0,0.42572,1,0
53,268433602,0.999993,1854,0,4.14401e-06,0,0
54,248569090,0.925992,19866366,7.30542e-08,0.0444048,2,0
55,0,0,268435456,0,0,0,0
56,67433101,0.251208,201002355,2.14948e-16,0.449275,1,0
57,54034390,0.201294,214401066,1.58454e-05,0.47923,3,0
58,114650312,0.427106,153785144,1.00455e-17,0.343737,1,0
59,65350270,0.243449,203085186,2.39519e-07,0.453931,3,0
60,203813421,0.759264,64622035,3.03515e-26,0.144442,0,0
61,268434401,0.999996,1055,0,2.35811e-06,0,0
62,216043938,0.804826,52391518,1.4013e-45,0.117104,0,0
63,0,0,268435456,0,0,0,0
64,268434372,0.999996,1084,0,2.42293e-06,0,0
65,0,0,268435456,0,0,0,0
66,0,0,268435456,0,0,0,0
67,0,0,268435456,0,0,0,0
68,0,0,268435456,0,0,0,0
69,0,0,268435456,0,0,0,0
70,0,0,268435456,0,0,0,0
71,0,0,268435456,0,0,0,0
72,0,0,268435456,0,0,0,0
73,0,0,268435456,0,0,0,0
74,0,0,268435456,0,0,0,0
75,0,0,268435456,0,0,0,0
76,0,0,268435456,0,0,0,0
